..
Name                                                                                                                              OS       Location                                                                                                                                                                                                                                                 
0c0083a6d9a24f2d91800e52cad83950__JDK-1.7.0_85-20160523-Win-GA                                                                    Windows  Southeast Asia, Australia East, Australia Southeast, Brazil South, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, Central US, South Central US                                                               
0c0083a6d9a24f2d91800e52cad83950__JDK-1.8.0_74-20160315-Win-GA                                                                    Windows  Southeast Asia, Australia East, Australia Southeast, Brazil South, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, Central US, South Central US                                                               
0c0083a6d9a24f2d91800e52cad83950__JDK-1.8.0_77-20160419-Win-GA                                                                    Windows  Southeast Asia, Australia East, Australia Southeast, Brazil South, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, Central US, South Central US                                                               
0c0083a6d9a24f2d91800e52cad83950__JDK-1.8.0_77-20160523-Win-GA                                                                    Windows  Southeast Asia, Australia East, Australia Southeast, Brazil South, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, Central US, South Central US                                                               
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.10.0                                                                        Linux    Southeast Asia, Australia East, Australia Southeast, Brazil South, Canada Central, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, UK South, UK West, Central US, South Central US, West US 2, West Central US
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.10.1                                                                        Linux    Southeast Asia, Australia East, Australia Southeast, Brazil South, Canada Central, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, UK South, UK West, Central US, South Central US, West US 2, West Central US
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.10.2                                                                        Linux    Southeast Asia, Australia East, Australia Southeast, Brazil South, Canada Central, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, UK South, UK West, Central US, South Central US, West US 2, West Central US
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.10                                                                        Linux    Southeast Asia, Australia East, Australia Southeast, Brazil South, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, Central US, South Central US                                                               
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.12                                                                        Linux    Southeast Asia, Australia East, Australia Southeast, Brazil South, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, Central US, South Central US                                                               
29ad5df6dd0640ce9aae898da6e66f4f__GitHub-Enterprise-2.2.13                                                                        Linux    Southeast Asia, Australia East, Australia Southeast, Brazil South, North Europe, West Europe, Central India, South India, West India, Japan East, Japan West, Central US, South Central US                                                               
